customer_id,customer_name,email,age,gender,city,region,signup_date,customer_status,total_orders,total_spend,total_profit,average_order_value,last_purchase,total_quantity,days_since_last_purchase,has_purchased
C00015,David Moore,david.moore15@example.com,18,Female,Coimbatore,South,2023-08-06,Active,1.0,278.48,134.18,278.48,2025-06-10,3.0,204.0,1
C00016,Nikhil Singh,nikhil.singh16@example.com,29,Female,Nagpur,West,2023-05-23,Active,17.0,5512.33,1973.6100000000001,324.25470588235294,2025-12-03,27.0,28.0,1
C00017,Meera Williams,meera.williams17@example.com,24,Female,Guwahati,East,2024-01-06,Active,1.0,48.96,15.45,48.96,2025-11-19,1.0,42.0,1
C00018,Pooja Reddy,pooja.reddy18@example.com,38,Male,Coimbatore,South,2025-05-31,Active,12.0,3052.11,776.13,254.3425,2025-12-24,19.0,7.0,1
C00019,Meera Davis,meera.davis19@example.com,25,Male,Mysuru,South,2024-01-30,Active,18.0,6591.03,1813.12,366.1683333333333,2025-10-22,29.0,70.0,1
C00020,Vikram Johnson,vikram.johnson20@example.com,20,Male,Goa,West,2024-11-27,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00021,Ananya Nair,ananya.nair21@example.com,49,Female,Patna,East,2023-06-11,Active,5.0,2008.3500000000001,460.13,401.67,2025-10-02,12.0,90.0,1
C00022,Michael Verma,michael.verma22@example.com,32,Other,Guwahati,East,2023-04-19,Inactive,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00023,Divya Gupta,divya.gupta23@example.com,35,Male,Guwahati,East,2024-01-18,Active,14.0,4786.71,1052.74,341.90785714285715,2025-10-08,29.0,84.0,1
C00024,Aditya Brown,aditya.brown24@example.com,20,Male,Amritsar,North,2023-04-25,Inactive,5.0,4717.4400000000005,1783.7,943.488,2025-12-30,13.0,1.0,1
C00025,Aanya Rao,aanya.rao25@example.com,29,Other,Bhubaneswar,East,2023-03-22,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00026,Michael Johnson,michael.johnson26@example.com,36,Male,Mumbai,West,2023-05-12,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00027,Sanjay Davis,sanjay.davis27@example.com,23,Female,Chennai,South,2023-08-05,Inactive,4.0,2515.2799999999997,1115.81,628.8199999999999,2025-12-07,9.0,24.0,1
C00028,Neha Joshi,neha.joshi28@example.com,38,Other,Mysuru,South,2024-10-27,Active,9.0,3037.7299999999996,826.24,337.5255555555555,2025-11-30,11.0,31.0,1
C00029,Sneha Rao,sneha.rao29@example.com,28,Male,Mumbai,West,2023-12-13,Active,7.0,3876.86,1047.51,553.8371428571429,2025-11-19,12.0,42.0,1
C00030,Sneha Sharma,sneha.sharma30@example.com,32,Male,Coimbatore,South,2024-12-25,Active,15.0,3306.9,972.25,220.46,2025-12-08,28.0,23.0,1
C00031,David Patel,david.patel31@example.com,28,Female,Hyderabad,South,2023-03-14,Active,2.0,352.08000000000004,84.07,176.04000000000002,2024-11-13,5.0,413.0,1
C00032,Rohan Johnson,rohan.johnson32@example.com,53,Male,Ranchi,East,2025-01-10,Inactive,1.0,598.67,250.11,598.67,2024-11-12,1.0,414.0,1
C00033,Sophia Brown,sophia.brown33@example.com,34,Female,Pune,West,2023-07-14,Active,19.0,7537.38,2145.89,396.7042105263158,2025-12-07,35.0,24.0,1
C00034,Meera Kapoor,meera.kapoor34@example.com,24,Female,Ahmedabad,West,2025-06-03,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00035,Karan Taylor,karan.taylor35@example.com,43,Female,Delhi,North,2025-03-30,Inactive,16.0,7378.68,2943.52,461.1675,2025-12-30,31.0,1.0,1
C00036,Rohan Johnson,rohan.johnson36@example.com,22,Female,Bengaluru,South,2023-05-24,Active,1.0,78.07,22.02,78.07,2024-04-28,1.0,612.0,1
C00037,Sneha Reddy,sneha.reddy37@example.com,37,Female,Ranchi,East,2025-04-07,Inactive,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00038,Daniel Johnson,daniel.johnson38@example.com,18,Male,Delhi,North,2023-04-06,Inactive,7.0,3256.85,1425.91,465.2642857142857,2025-12-11,15.0,20.0,1
C00039,Meera Brown,meera.brown39@example.com,21,Female,Bengaluru,South,2023-08-07,Inactive,15.0,6109.13,2044.39,407.2753333333333,2025-12-18,26.0,13.0,1
C00040,Karan Sharma,karan.sharma40@example.com,36,Female,Jaipur,North,2023-09-29,Inactive,23.0,5226.599999999999,1774.24,227.24347826086955,2025-10-17,41.0,75.0,1
C00041,Meera Moore,meera.moore41@example.com,42,Other,Ahmedabad,West,2025-03-13,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00042,Rohan Nair,rohan.nair42@example.com,36,Male,Pune,West,2023-03-01,Active,2.0,3592.8,1186.69,1796.4,2025-07-23,5.0,161.0,1
C00043,Aditya Patel,aditya.patel43@example.com,33,Male,Dehradun,North,2024-08-21,Active,3.0,861.4499999999999,314.69,287.15,2025-11-16,7.0,45.0,1
C00044,Sanjay Reddy,sanjay.reddy44@example.com,31,Male,Hyderabad,South,2023-03-12,Active,6.0,800.36,333.35,133.39333333333335,2025-04-01,11.0,274.0,1
C00045,Ananya Williams,ananya.williams45@example.com,20,Male,Kochi,South,2024-08-15,Active,5.0,628.13,264.48,125.626,2025-08-01,9.0,152.0,1
C00046,Olivia Williams,olivia.williams46@example.com,27,Other,Chandigarh,North,2024-06-19,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00047,Olivia Moore,olivia.moore47@example.com,30,Female,Bhubaneswar,East,2023-09-02,Active,17.0,7237.19,2132.66,425.7170588235294,2025-12-03,29.0,28.0,1
C00048,Daniel Nair,daniel.nair48@example.com,45,Female,Mysuru,South,2023-11-20,Inactive,6.0,667.71,254.75,111.28500000000001,2025-05-22,9.0,223.0,1
C00049,Nikhil Davis,nikhil.davis49@example.com,38,Other,Delhi,North,2023-04-13,Active,14.0,8061.76,2356.87,575.84,2025-12-21,31.0,10.0,1
C00050,Vikram Singh,vikram.singh50@example.com,18,Female,Coimbatore,South,2025-06-21,Active,4.0,1760.1499999999999,650.4,440.03749999999997,2025-06-03,5.0,211.0,1
C00051,Neha Verma,neha.verma51@example.com,38,Female,Chennai,South,2025-05-03,Active,2.0,830.88,148.06,415.44,2025-11-04,5.0,57.0,1
C00052,Sophia Miller,sophia.miller52@example.com,31,Other,Guwahati,East,2023-01-09,Active,19.0,6494.5,1794.41,341.8157894736842,2025-12-17,34.0,14.0,1
C00053,David Singh,david.singh53@example.com,28,Female,Kolkata,East,2023-04-29,Inactive,5.0,1267.34,541.52,253.468,2025-09-11,6.0,111.0,1
C00054,Neha Davis,neha.davis54@example.com,41,Male,Chennai,South,2025-01-04,Active,6.0,1300.42,470.93,216.73666666666668,2025-08-31,13.0,122.0,1
C00055,Pooja Mehta,pooja.mehta55@example.com,45,Male,Guwahati,East,2023-04-05,Active,18.0,3809.8,1343.3700000000001,211.65555555555557,2025-12-03,27.0,28.0,1
C00056,Aarav Iyer,aarav.iyer56@example.com,44,Male,Kolkata,East,2024-10-14,Inactive,9.0,4274.86,1260.5,474.9844444444444,2025-12-05,23.0,26.0,1
C00057,Nikhil Johnson,nikhil.johnson57@example.com,26,Other,Mysuru,South,2024-03-13,Active,6.0,4510.76,1202.48,751.7933333333334,2025-12-10,15.0,21.0,1
C00058,David Moore,david.moore58@example.com,31,Male,Delhi,North,2024-07-12,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00059,Kavya Singh,kavya.singh59@example.com,38,Female,Guwahati,East,2023-05-11,Active,1.0,217.24,88.46,217.24,2024-10-06,2.0,451.0,1
C00060,David Das,david.das60@example.com,44,Male,Kolkata,East,2024-11-29,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00061,Michael Johnson,michael.johnson61@example.com,30,Female,Lucknow,North,2024-09-27,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00062,Sophia Verma,sophia.verma62@example.com,33,Female,Bengaluru,South,2023-01-26,Active,2.0,105.59,44.44,52.795,2025-05-29,2.0,216.0,1
C00063,Sophia Wilson,sophia.wilson63@example.com,23,Other,Ranchi,East,2025-04-10,Active,2.0,852.0699999999999,180.23000000000002,426.03499999999997,2024-03-30,4.0,641.0,1
C00064,Ananya Joshi,ananya.joshi64@example.com,23,Male,Mysuru,South,2025-05-29,Active,4.0,878.75,250.3,219.6875,2025-12-28,6.0,3.0,1
C00065,Ishita Nair,ishita.nair65@example.com,43,Male,Kochi,South,2023-08-17,Active,2.0,128.58,64.17,64.29,2024-05-20,4.0,590.0,1
C00066,Aditya Mehta,aditya.mehta66@example.com,48,Male,Kochi,South,2025-03-02,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00067,William Johnson,william.johnson67@example.com,34,Female,Nagpur,West,2023-01-29,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00068,Varun Mehta,varun.mehta68@example.com,45,Male,Bhubaneswar,East,2023-04-22,Active,5.0,1982.0,827.4100000000001,396.4,2025-12-26,12.0,5.0,1
C00069,Meera Davis,meera.davis69@example.com,38,Other,Patna,East,2023-04-29,Active,6.0,2615.7,1020.36,435.95,2025-09-23,16.0,99.0,1
C00070,Aanya Moore,aanya.moore70@example.com,28,Female,Chennai,South,2023-01-02,Active,6.0,1452.29,439.78,242.04833333333332,2025-05-03,6.0,242.0,1
C00071,Meera Reddy,meera.reddy71@example.com,38,Other,Chennai,South,2023-12-05,Active,8.0,2828.87,682.98,353.60875,2025-10-21,17.0,71.0,1
C00072,David Nair,david.nair72@example.com,50,Other,Dehradun,North,2023-11-13,Active,9.0,2131.44,883.49,236.82666666666668,2025-11-13,24.0,48.0,1
C00073,James Nair,james.nair73@example.com,34,Other,Ranchi,East,2023-05-11,Active,2.0,523.6800000000001,118.6,261.84000000000003,2025-06-09,2.0,205.0,1
C00074,Emma Verma,emma.verma74@example.com,50,Other,Nagpur,West,2024-08-05,Active,2.0,258.96,86.49000000000001,129.48,2024-09-17,2.0,470.0,1
C00075,Neha Gupta,neha.gupta75@example.com,18,Female,Lucknow,North,2025-03-15,Active,10.0,4856.29,1629.8,485.629,2025-09-04,19.0,118.0,1
C00076,Nikhil Malhotra,nikhil.malhotra76@example.com,43,Other,Ranchi,East,2023-08-07,Active,10.0,4553.48,1372.47,455.34799999999996,2025-10-20,22.0,72.0,1
C00077,Arjun Nair,arjun.nair77@example.com,35,Other,Mysuru,South,2024-11-10,Active,1.0,130.45,43.98,130.45,2024-11-16,1.0,410.0,1
C00078,William Anderson,william.anderson78@example.com,32,Male,Kolkata,East,2024-11-19,Active,4.0,1817.3,657.4499999999999,454.325,2025-12-22,8.0,9.0,1
C00079,Aarav Patel,aarav.patel79@example.com,35,Male,Bengaluru,South,2024-05-01,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00080,Meera Miller,meera.miller80@example.com,18,Other,Chandigarh,North,2023-07-19,Active,1.0,103.14,55.04,103.14,2025-03-20,1.0,286.0,1
C00081,Karan Rao,karan.rao81@example.com,32,Male,Surat,West,2024-11-02,Active,18.0,2655.08,914.73,147.50444444444443,2025-12-09,28.0,22.0,1
C00082,Sneha Verma,sneha.verma82@example.com,38,Other,Chandigarh,North,2024-06-14,Active,6.0,3231.1400000000003,983.95,538.5233333333334,2025-10-30,16.0,62.0,1
C00083,Nikhil Singh,nikhil.singh83@example.com,49,Female,Hyderabad,South,2024-11-14,Active,15.0,3047.38,945.37,203.15866666666668,2025-12-11,29.0,20.0,1
C00084,Divya Taylor,divya.taylor84@example.com,29,Other,Ranchi,East,2024-03-12,Inactive,3.0,1058.6,323.72,352.8666666666666,2025-09-07,5.0,115.0,1
C00085,Emma Brown,emma.brown85@example.com,26,Female,Pune,West,2023-09-23,Active,34.0,18410.39,5326.48,541.4820588235294,2025-09-12,83.0,110.0,1
C00086,Pooja Miller,pooja.miller86@example.com,29,Male,Guwahati,East,2023-10-09,Active,2.0,513.11,227.85,256.555,2025-05-19,3.0,226.0,1
C00087,Vikram Iyer,vikram.iyer87@example.com,44,Female,Bhubaneswar,East,2024-07-07,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00088,Karan Moore,karan.moore88@example.com,38,Male,Bengaluru,South,2024-12-24,Active,7.0,2049.69,637.1,292.8128571428571,2025-12-14,10.0,17.0,1
C00089,Aditya Johnson,aditya.johnson89@example.com,29,Female,Surat,West,2024-03-01,Active,1.0,99.94,46.83,99.94,2025-11-16,1.0,45.0,1
C00090,David Anderson,david.anderson90@example.com,40,Other,Surat,West,2024-12-13,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00091,Aarav Das,aarav.das91@example.com,35,Female,Surat,West,2025-02-10,Active,12.0,4589.86,1441.72,382.4883333333333,2025-11-11,26.0,50.0,1
C00092,Emma Taylor,emma.taylor92@example.com,44,Other,Goa,West,2025-03-30,Active,3.0,459.97,150.6,153.32333333333335,2024-09-16,3.0,471.0,1
C00093,Sneha Mehta,sneha.mehta93@example.com,27,Female,Kochi,South,2024-05-12,Active,6.0,1754.5300000000002,694.5,292.4216666666667,2025-02-10,10.0,324.0,1
C00094,Emma Verma,emma.verma94@example.com,31,Female,Ranchi,East,2023-05-11,Inactive,2.0,192.84,60.3,96.42,2025-06-20,2.0,194.0,1
C00095,Varun Williams,varun.williams95@example.com,31,Other,Chandigarh,North,2023-01-28,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00096,Isabella Malhotra,isabella.malhotra96@example.com,20,Male,Pune,West,2023-02-21,Active,17.0,5437.87,1883.31,319.87470588235294,2025-12-28,30.0,3.0,1
C00097,Nikhil Iyer,nikhil.iyer97@example.com,37,Female,Bhubaneswar,East,2025-02-18,Inactive,3.0,571.8299999999999,242.79999999999998,190.60999999999999,2025-11-12,3.0,49.0,1
C00098,Vikram Reddy,vikram.reddy98@example.com,37,Female,Ranchi,East,2023-01-20,Active,5.0,3664.32,1222.54,732.864,2025-10-30,12.0,62.0,1
C00099,Sneha Miller,sneha.miller99@example.com,35,Male,Lucknow,North,2025-03-10,Inactive,6.0,1972.51,563.3199999999999,328.75166666666667,2025-06-09,12.0,205.0,1
C00100,Sneha Gupta,sneha.gupta100@example.com,32,Male,Delhi,North,2024-09-28,Active,5.0,2371.0699999999997,653.29,474.21399999999994,2025-10-15,9.0,77.0,1
C00101,Olivia Kumar,olivia.kumar101@example.com,20,Other,Kochi,South,2023-08-12,Active,6.0,1865.3899999999999,523.86,310.8983333333333,2025-11-26,11.0,35.0,1
C00102,Priya Davis,priya.davis102@example.com,30,Other,Patna,East,2025-02-04,Active,7.0,1966.79,456.77,280.96999999999997,2025-10-15,15.0,77.0,1
C00103,Ananya Williams,ananya.williams103@example.com,31,Male,Chennai,South,2023-11-16,Active,2.0,548.69,140.21,274.345,2024-04-01,3.0,639.0,1
C00104,James Gupta,james.gupta104@example.com,26,Male,Surat,West,2024-08-29,Active,11.0,2406.1,865.9,218.73636363636362,2025-10-20,21.0,72.0,1
C00105,James Anderson,james.anderson105@example.com,33,Female,Hyderabad,South,2025-05-20,Active,1.0,615.09,109.14,615.09,2024-10-19,3.0,438.0,1
C00106,Sophia Patel,sophia.patel106@example.com,39,Female,Amritsar,North,2024-06-29,Active,4.0,458.33000000000004,167.1,114.58250000000001,2025-08-16,5.0,137.0,1
C00107,Sanjay Miller,sanjay.miller107@example.com,53,Female,Kolkata,East,2023-01-13,Inactive,23.0,8775.03,3009.9700000000003,381.5230434782609,2025-12-11,45.0,20.0,1
C00108,Meera Das,meera.das108@example.com,36,Other,Mumbai,West,2025-04-28,Active,3.0,1016.85,344.59,338.95,2025-06-08,6.0,206.0,1
C00109,Priya Taylor,priya.taylor109@example.com,37,Other,Kochi,South,2024-10-28,Active,10.0,2360.83,701.3,236.083,2025-12-26,22.0,5.0,1
C00110,Meera Taylor,meera.taylor110@example.com,34,Other,Surat,West,2023-10-02,Active,6.0,2008.39,410.44,334.7316666666667,2025-12-22,13.0,9.0,1
C00111,Vikram Malhotra,vikram.malhotra111@example.com,18,Male,Hyderabad,South,2025-02-07,Active,10.0,3773.51,1097.83,377.351,2025-12-27,20.0,4.0,1
C00112,Aarav Brown,aarav.brown112@example.com,34,Female,Ahmedabad,West,2023-07-06,Active,11.0,2956.83,694.26,268.8027272727273,2025-11-21,19.0,40.0,1
C00113,Aditya Mehta,aditya.mehta113@example.com,35,Other,Patna,East,2024-12-19,Inactive,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00114,Rohan Reddy,rohan.reddy114@example.com,59,Male,Amritsar,North,2025-01-07,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00115,Pooja Miller,pooja.miller115@example.com,33,Other,Mysuru,South,2024-05-17,Active,1.0,108.62,44.23,108.62,2024-04-01,1.0,639.0,1
C00116,Neha Rao,neha.rao116@example.com,38,Female,Delhi,North,2024-12-09,Active,7.0,1520.03,379.48,217.14714285714285,2025-10-23,14.0,69.0,1
C00117,Kavya Smith,kavya.smith117@example.com,34,Female,Ranchi,East,2024-03-11,Inactive,3.0,958.67,347.92,319.5566666666667,2025-09-05,4.0,117.0,1
C00118,James Malhotra,james.malhotra118@example.com,23,Female,Patna,East,2023-11-10,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00119,Rohan Iyer,rohan.iyer119@example.com,46,Male,Dehradun,North,2025-01-30,Active,1.0,1217.52,133.62,1217.52,2025-01-15,2.0,350.0,1
C00120,Rohan Taylor,rohan.taylor120@example.com,42,Female,Bengaluru,South,2023-10-11,Active,15.0,5617.91,1926.44,374.52733333333333,2025-12-22,31.0,9.0,1
C00121,William Gupta,william.gupta121@example.com,42,Female,Kolkata,East,2023-08-21,Active,4.0,1699.05,737.4699999999999,424.7625,2025-09-29,5.0,93.0,1
C00122,James Johnson,james.johnson122@example.com,25,Male,Kolkata,East,2023-10-08,Active,5.0,3018.84,1156.32,603.768,2025-09-06,9.0,116.0,1
C00123,Neha Moore,neha.moore123@example.com,49,Male,Amritsar,North,2024-10-15,Inactive,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00124,Isabella Sharma,isabella.sharma124@example.com,20,Other,Mumbai,West,2023-10-19,Active,4.0,1560.9699999999998,632.85,390.24249999999995,2025-11-09,9.0,52.0,1
C00125,Priya Patel,priya.patel125@example.com,40,Female,Ahmedabad,West,2025-06-01,Active,1.0,981.06,488.7,981.06,2025-05-04,3.0,241.0,1
C00126,Pooja Reddy,pooja.reddy126@example.com,56,Other,Chandigarh,North,2024-10-06,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00127,Sophia Williams,sophia.williams127@example.com,25,Female,Bengaluru,South,2023-03-29,Inactive,8.0,5830.9400000000005,1273.15,728.8675000000001,2025-10-22,20.0,70.0,1
C00128,Michael Kapoor,michael.kapoor128@example.com,29,Other,Amritsar,North,2024-09-02,Active,31.0,16550.48,5495.72,533.8864516129032,2025-12-12,55.0,19.0,1
C00129,Karan Malhotra,karan.malhotra129@example.com,35,Female,Coimbatore,South,2023-11-01,Inactive,3.0,798.82,345.58,266.27333333333337,2025-04-03,9.0,272.0,1
C00130,Varun Davis,varun.davis130@example.com,29,Male,Ahmedabad,West,2024-09-16,Inactive,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00131,Daniel Gupta,daniel.gupta131@example.com,19,Female,Jaipur,North,2024-11-07,Active,3.0,5708.9,2142.09,1902.9666666666665,2025-03-14,7.0,292.0,1
C00132,Kavya Reddy,kavya.reddy132@example.com,35,Male,Bengaluru,South,2023-01-03,Active,1.0,58.14,24.63,58.14,2024-05-01,1.0,609.0,1
C00133,Aanya Rao,aanya.rao133@example.com,24,Female,Ahmedabad,West,2024-12-24,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00134,Olivia Rao,olivia.rao134@example.com,39,Female,Mumbai,West,2025-03-17,Active,2.0,1669.3100000000002,404.5,834.6550000000001,2025-02-11,4.0,323.0,1
C00135,Ananya Johnson,ananya.johnson135@example.com,25,Male,Kochi,South,2024-10-25,Active,2.0,250.64,61.760000000000005,125.32,2025-02-11,4.0,323.0,1
C00136,Arjun Patel,arjun.patel136@example.com,50,Male,Bhubaneswar,East,2025-03-22,Active,7.0,1582.24,562.69,226.03428571428572,2025-10-14,20.0,78.0,1
C00137,Ananya Malhotra,ananya.malhotra137@example.com,27,Other,Ranchi,East,2023-11-08,Active,2.0,1614.13,503.63,807.065,2025-07-28,5.0,156.0,1
C00138,Kavya Brown,kavya.brown138@example.com,31,Female,Guwahati,East,2023-03-24,Active,9.0,2699.73,840.66,299.97,2025-10-03,17.0,89.0,1
C00139,Aditya Davis,aditya.davis139@example.com,43,Female,Nagpur,West,2023-01-27,Active,2.0,1762.5,661.55,881.25,2025-12-07,7.0,24.0,1
C00140,William Mehta,william.mehta140@example.com,22,Other,Dehradun,North,2023-02-11,Active,11.0,7836.33,2537.24,712.3936363636363,2025-12-29,21.0,2.0,1
C00141,Sanjay Miller,sanjay.miller141@example.com,37,Female,Kochi,South,2023-10-12,Active,16.0,4338.54,1423.24,271.15875,2025-12-23,31.0,8.0,1
C00142,William Brown,william.brown142@example.com,48,Male,Nagpur,West,2024-04-26,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00143,Olivia Kumar,olivia.kumar143@example.com,18,Male,Patna,East,2023-12-04,Active,2.0,1121.22,459.37,560.61,2024-12-28,4.0,368.0,1
C00144,Olivia Joshi,olivia.joshi144@example.com,36,Other,Ahmedabad,West,2023-02-07,Active,4.0,567.68,218.92,141.92,2025-05-11,8.0,234.0,1
C00145,Aditya Kumar,aditya.kumar145@example.com,37,Female,Patna,East,2025-06-04,Active,1.0,1217.52,133.62,1217.52,2025-01-18,2.0,347.0,1
C00146,Isabella Johnson,isabella.johnson146@example.com,42,Female,Dehradun,North,2024-02-28,Active,3.0,707.5899999999999,191.14999999999998,235.86333333333332,2025-04-18,5.0,257.0,1
C00147,Michael Brown,michael.brown147@example.com,22,Other,Guwahati,East,2024-03-28,Active,4.0,1419.06,321.85,354.765,2025-02-25,9.0,309.0,1
C00148,Kavya Singh,kavya.singh148@example.com,21,Female,Chennai,South,2024-03-24,Inactive,1.0,722.9,180.95,722.9,2025-07-21,1.0,163.0,1
C00149,Aarav Miller,aarav.miller149@example.com,40,Other,Mumbai,West,2025-03-29,Active,4.0,1376.14,238.79,344.035,2025-10-23,5.0,69.0,1
C00150,Kavya Sharma,kavya.sharma150@example.com,37,Other,Chennai,South,2024-02-22,Active,1.0,871.77,399.43,871.77,2024-02-10,1.0,690.0,1
C00151,Ananya Miller,ananya.miller151@example.com,37,Male,Chandigarh,North,2024-05-25,Inactive,13.0,7092.98,2604.9,545.6138461538461,2025-04-25,25.0,250.0,1
C00152,James Mehta,james.mehta152@example.com,38,Female,Guwahati,East,2025-05-04,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00153,Nikhil Johnson,nikhil.johnson153@example.com,28,Male,Pune,West,2024-01-28,Active,6.0,2110.12,592.09,351.68666666666667,2025-12-25,10.0,6.0,1
C00154,Vikram Anderson,vikram.anderson154@example.com,37,Female,Hyderabad,South,2023-12-15,Inactive,2.0,177.79000000000002,75.71000000000001,88.89500000000001,2025-11-16,3.0,45.0,1
C00155,Neha Taylor,neha.taylor155@example.com,37,Female,Kolkata,East,2025-05-07,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00156,Nikhil Johnson,nikhil.johnson156@example.com,27,Female,Pune,West,2023-12-20,Active,6.0,3022.25,1120.24,503.7083333333333,2025-10-10,12.0,82.0,1
C00157,Mia Iyer,mia.iyer157@example.com,53,Male,Surat,West,2024-12-15,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00158,Isabella Anderson,isabella.anderson158@example.com,39,Female,Pune,West,2023-02-14,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00159,Mia Joshi,mia.joshi159@example.com,23,Female,Nagpur,West,2024-11-10,Active,1.0,680.48,89.32,680.48,2024-07-14,2.0,535.0,1
C00160,Aanya Singh,aanya.singh160@example.com,41,Other,Kochi,South,2024-08-27,Active,3.0,517.46,192.19,172.48666666666668,2025-07-12,3.0,172.0,1
C00161,Ananya Smith,ananya.smith161@example.com,25,Female,Chandigarh,North,2023-01-16,Active,4.0,2850.13,1161.67,712.5325,2025-10-16,9.0,76.0,1
C00162,Rahul Reddy,rahul.reddy162@example.com,42,Female,Nagpur,West,2025-03-11,Inactive,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00163,James Joshi,james.joshi163@example.com,46,Other,Guwahati,East,2023-03-24,Inactive,4.0,515.3199999999999,122.57,128.82999999999998,2025-07-24,8.0,160.0,1
C00164,Daniel Moore,daniel.moore164@example.com,26,Female,Ahmedabad,West,2025-06-12,Active,1.0,312.95,111.91,312.95,2025-12-05,1.0,26.0,1
C00165,Daniel Wilson,daniel.wilson165@example.com,44,Female,Jaipur,North,2023-08-21,Active,3.0,477.39,177.57,159.13,2025-06-27,3.0,187.0,1
C00166,Michael Miller,michael.miller166@example.com,39,Other,Mumbai,West,2025-06-12,Active,4.0,2091.42,1059.51,522.855,2025-12-26,6.0,5.0,1
C00167,Neha Sharma,neha.sharma167@example.com,43,Male,Mysuru,South,2023-11-29,Active,9.0,6911.13,2463.84,767.9033333333333,2025-09-29,16.0,93.0,1
